Sample	X2009_106	X2009_107	X2009_109	X2009_110	X2009_111	X2009_115	X2009_118	X2009_173	X2009_193	X2009_245	X2009_265	X2011_109	X2011_118	X2011_119	X2011_149	X2011_56	X2011_60	X2011_62	X2011_66	X2011_69	X2011_70	X2011_79	X2011_85	HU100_S17	HU101_S15	HU103_S22	HU107_S1	HU108_S18	HU109_S19	HU112_S2	HU113_S3	HU114_S27	HU115_S28	HU117_S4	HU118_S5	HU119_S20	HU122_S6	HU123_S7	HU124_S23	HU500_S8	HU502_S24	HU503_S9	HU504_S25	HU505_S21	HU506_S10	HU508_S26	HU537_S11	HU538_S12	HU539_S13	HU540_S14	HU99_S16
Toxoplasmosis	1.48E-06	5.64E-06	2.45E-06	4.91E-06	2.50E-06	2.92E-06	3.12E-06	2.62E-06	3.02E-06	6.54E-06	3.86E-06	6.34E-06	8.80E-06	5.96E-05	1.27E-05	8.29E-06	1.50E-05	6.10E-06	2.94E-06	1.16E-05	4.73E-06	3.31E-06	1.14E-05	3.86E-07	8.96E-08	2.03E-08	0	1.37E-07	1.32E-07	4.82E-08	1.56E-08	1.01E-06	1.08E-06	1.99E-07	6.37E-08	6.30E-08	5.08E-07	3.28E-08	8.40E-07	3.65E-08	0	1.70E-07	3.03E-08	1.71E-08	4.91E-08	2.44E-07	4.31E-07	8.00E-07	1.19E-06	8.60E-07	7.01E-08
Acute.myeloid.leukemia	1.49E-07	3.13E-07	6.16E-08	9.27E-08	1.46E-07	1.54E-08	2.74E-07	1.27E-07	2.75E-07	7.82E-07	2.92E-07	5.89E-07	2.09E-06	7.62E-06	1.79E-06	1.10E-06	2.11E-06	9.11E-07	2.74E-07	2.29E-06	4.69E-07	3.27E-07	1.61E-06	0	0	0	0	2.81E-08	0	3.55E-08	0	0	0	0	0	0	0	0	3.51E-08	0	0	5.17E-09	0	0	0	0	0	0	3.66E-08	1.38E-08	0
Nucleotide.excision.repair	0.011807469	0.011078247	0.011869224	0.012094137	0.012215591	0.012019284	0.012116776	0.011159237	0.012178699	0.01202126	0.011650385	0.012427251	0.013319539	0.012343934	0.011735392	0.012148773	0.011469075	0.011469329	0.011764183	0.011031881	0.01128459	0.011426396	0.012319177	0.011271812	0.011653869	0.010670784	0.009397872	0.008858676	0.009107611	0.010415028	0.010725037	0.011520969	0.011446396	0.011158114	0.010712276	0.01009968	0.012196176	0.010279232	0.01284336	0.012079048	0.008415377	0.012026507	0.007460402	0.012130642	0.011351362	0.011517478	0.011770949	0.011356032	0.01192398	0.010423924	0.010130564
D.Glutamine.and.D.glutamate.metabolism	0.001481202	0.001532379	0.001584207	0.001431265	0.001435252	0.001382456	0.001514412	0.001334985	0.00138554	0.00131232	0.001389173	0.001267193	0.001087493	0.00120757	0.001372919	0.00139235	0.001436266	0.00154626	0.001649838	0.001498293	0.001579455	0.001639374	0.001455898	0.00171226	0.001605277	0.001685564	0.002016773	0.00152461	0.001553698	0.001976517	0.002099913	0.001500819	0.001525789	0.001985367	0.001968088	0.001389784	0.001740792	0.002144937	0.001809149	0.001983461	0.001359631	0.001698416	0.001763944	0.00169858	0.002077904	0.00181675	0.001824082	0.001971629	0.002076668	0.001950157	0.001602086
Primary.immunodeficiency	0.00103079	0.000933308	0.001019981	0.001064197	0.001037024	0.000904121	0.000964165	0.001006656	0.001008935	0.001061493	0.00107084	0.00105188	0.001176755	0.001268216	0.001063445	0.000958481	0.000771218	0.000805179	0.000851143	0.00083962	0.000980677	0.000841775	0.001042296	0.000799725	0.00098559	0.000723257	0.00065846	0.000749209	0.000475822	0.000709696	0.000734904	0.000691213	0.000690463	0.000848028	0.000804926	0.000655256	0.000859555	0.000882808	0.000717729	0.000783783	0.000625859	0.000902676	0.000574316	0.000728327	0.000823272	0.000902292	0.000721339	0.00089814	0.000806315	0.000801202	0.000652079
Ras.signaling.pathway	6.81E-07	1.24E-06	1.15E-06	8.74E-07	1.38E-06	4.19E-07	1.65E-06	1.68E-06	1.48E-06	5.69E-06	1.78E-06	4.30E-06	9.69E-06	7.84E-05	1.72E-05	7.43E-06	1.70E-05	5.80E-06	1.82E-06	1.56E-05	2.12E-06	3.63E-06	1.22E-05	0	0	7.92E-09	0	0	0	0	0	0	0	0	0	0	3.07E-07	0	3.98E-08	0	1.00E-08	1.43E-08	6.44E-09	0	0	9.01E-09	2.24E-07	0	4.69E-08	0	0
Galactose.metabolism	0.004553456	0.005510571	0.003934546	0.003832596	0.003824221	0.00429505	0.004157518	0.005191864	0.003880304	0.004232609	0.004424749	0.004105013	0.003585532	0.003653475	0.004528808	0.003705074	0.003563401	0.00430367	0.004334659	0.005116682	0.005535121	0.004715066	0.003671107	0.005711104	0.005606194	0.00561148	0.006509307	0.006248303	0.008903793	0.005607093	0.005660867	0.004358777	0.004515836	0.00568657	0.005824662	0.005404418	0.005089379	0.006408891	0.004347841	0.004581412	0.005655356	0.004434142	0.007202319	0.005001114	0.00567023	0.004934321	0.005167411	0.005859581	0.005146278	0.006665044	0.005974976
Dorso.ventral.axis.formation	2.28E-08	6.42E-08	2.05E-08	0	2.57E-08	1.54E-08	7.02E-08	4.41E-08	2.47E-08	1.27E-07	3.52E-08	1.09E-07	3.19E-07	1.67E-06	3.58E-07	2.31E-07	2.83E-07	1.27E-07	8.02E-08	4.12E-07	1.60E-07	1.41E-07	3.48E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.12E-08	0	0	5.17E-09	0	0	0	0	0	0	1.03E-08	0	0
TNF.signaling.pathway	2.28E-08	7.20E-08	2.05E-08	0	3.93E-08	1.54E-08	5.52E-08	4.41E-08	2.47E-08	1.93E-07	2.98E-08	5.12E-08	2.70E-07	2.61E-06	4.95E-07	2.12E-07	4.24E-07	1.42E-07	1.43E-08	3.86E-07	3.77E-08	4.09E-08	2.73E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.12E-08	0	0	5.17E-09	0	0	0	0	0	0	1.03E-08	0	0
Focal.adhesion	2.78E-06	4.24E-06	2.82E-06	5.39E-06	5.08E-06	5.22E-06	1.01E-05	4.27E-06	4.83E-06	1.43E-05	3.03E-06	5.83E-06	1.27E-05	0.000159934	3.49E-05	1.47E-05	3.15E-05	1.24E-05	2.68E-06	3.62E-05	5.32E-06	7.54E-06	2.45E-05	1.67E-07	1.50E-07	0	0	3.97E-08	2.92E-08	0	8.41E-08	3.53E-07	5.84E-07	6.17E-07	1.87E-08	3.54E-08	2.29E-08	1.64E-08	2.35E-07	9.68E-08	0	1.33E-07	0	3.43E-08	5.31E-07	1.05E-07	6.40E-07	1.77E-07	3.45E-07	5.10E-07	4.84E-07
Pathways.in.cancer	0.00030366	0.000301301	0.000333097	0.0003365	0.000335568	0.000376898	0.000323522	0.000308092	0.000331535	0.000312389	0.000294064	0.000338023	0.0003971	0.000426464	0.000305123	0.000340878	0.000350697	0.000333317	0.000338671	0.000325397	0.000273227	0.000319659	0.000338915	0.000295406	0.000278316	0.000270347	0.000192869	0.000219907	0.000207267	0.000236459	0.000267562	0.00031397	0.000275745	0.000232334	0.000237661	0.000269537	0.000286131	0.000218843	0.000297848	0.000280721	0.000227237	0.000279482	0.000201162	0.000325847	0.000241979	0.000308882	0.000296707	0.000242452	0.000273979	0.000249539	0.000247894
Glycerophospholipid.metabolism	0.006116467	0.006488993	0.00554328	0.005384842	0.005616315	0.005685215	0.005607995	0.006485883	0.005660296	0.005511028	0.005953805	0.005994371	0.005599825	0.004953191	0.006208497	0.005733685	0.005661586	0.005770205	0.005806478	0.005976712	0.005881085	0.006374494	0.005291659	0.007337303	0.006096645	0.006926188	0.007192716	0.008397903	0.006407465	0.007196025	0.007124631	0.006379426	0.006681652	0.006995018	0.007429011	0.007113266	0.006182622	0.007332905	0.005978886	0.006648118	0.00589464	0.006935017	0.008079284	0.006435622	0.006890581	0.007316704	0.006776049	0.006627961	0.00662657	0.008115249	0.006398467
Fc.epsilon.RI.signaling.pathway	2.28E-08	8.53E-08	2.05E-08	0	3.93E-08	1.54E-08	7.02E-08	4.41E-08	2.47E-08	1.93E-07	4.40E-08	1.31E-07	3.92E-07	2.66E-06	5.11E-07	2.92E-07	4.80E-07	1.42E-07	8.02E-08	4.85E-07	1.68E-07	1.48E-07	4.41E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.12E-08	0	0	5.17E-09	0	0	0	0	0	0	1.03E-08	0	0
Vibrio.cholerae.infection	1.07E-05	1.34E-05	6.84E-06	1.82E-05	1.43E-05	8.54E-06	2.33E-05	6.82E-06	1.37E-05	2.45E-05	2.09E-05	6.49E-05	6.08E-05	0.000195288	6.06E-05	4.66E-05	6.89E-05	3.69E-05	1.27E-05	7.52E-05	2.60E-05	1.85E-05	4.44E-05	2.72E-06	1.01E-06	3.38E-07	9.85E-07	8.44E-06	9.30E-07	1.09E-06	1.53E-06	6.41E-06	1.49E-05	1.34E-05	4.16E-07	2.54E-06	3.24E-06	4.83E-07	9.84E-06	2.86E-06	6.69E-07	6.45E-07	8.66E-07	1.31E-06	1.19E-05	4.11E-06	1.51E-05	1.26E-05	1.25E-05	1.04E-05	1.17E-06
Phototransduction	0	1.54E-07	1.26E-07	2.67E-07	2.56E-07	0	5.01E-07	4.49E-08	2.46E-07	8.37E-07	5.72E-07	1.05E-06	4.33E-07	6.65E-06	2.08E-06	1.75E-06	3.36E-06	1.15E-06	9.59E-07	4.13E-06	9.43E-07	9.96E-07	1.66E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p53.signaling.pathway	2.73E-07	1.49E-06	2.65E-07	1.01E-06	1.83E-06	1.67E-06	2.22E-06	9.67E-07	2.09E-06	4.34E-06	2.13E-06	1.78E-06	1.14E-05	3.62E-05	7.97E-06	3.00E-06	7.89E-06	3.67E-06	7.00E-07	6.27E-06	5.30E-07	5.00E-07	4.27E-06	7.69E-08	2.56E-07	3.72E-08	4.80E-08	1.51E-07	0	0	0	5.14E-08	0	7.46E-08	0	5.95E-08	3.31E-07	0	2.82E-07	0	0	0	0	0	5.31E-08	0	0	2.75E-07	2.57E-07	0	4.24E-08
Riboflavin.metabolism	0.002056955	0.001901519	0.001681172	0.001639207	0.001916266	0.001546477	0.001918479	0.00164346	0.001959234	0.001650726	0.001942752	0.001962753	0.001699528	0.001441703	0.001831707	0.001823413	0.001824196	0.001941176	0.001940947	0.001692496	0.001874558	0.002186331	0.002105502	0.001553789	0.001329504	0.00206942	0.003538171	0.002096792	0.001574375	0.003119024	0.002836382	0.001750531	0.001910908	0.003115576	0.002958239	0.002072646	0.002210852	0.00334655	0.001682167	0.002559809	0.001992927	0.002445732	0.003059078	0.001692873	0.00304334	0.001437822	0.002464452	0.002810207	0.002696003	0.002657077	0.002407928
Plant.pathogen.interaction	0.004069592	0.003761191	0.004105106	0.004207096	0.004160825	0.004312545	0.004034986	0.004000788	0.004252709	0.004515278	0.00408228	0.004083204	0.004817613	0.004271221	0.003859648	0.004178985	0.004247291	0.004293533	0.003724467	0.003805667	0.003573993	0.003712962	0.00422726	0.003736626	0.004258528	0.003804315	0.002618883	0.002760745	0.00307568	0.003232854	0.003134284	0.004240801	0.004715129	0.003276541	0.003221142	0.003541407	0.004116544	0.003029468	0.004148396	0.003526108	0.003135338	0.004025748	0.002612548	0.003872998	0.003059376	0.003966633	0.003763394	0.003807163	0.003659426	0.00333997	0.003454287
Ethylbenzene.degradation	2.08E-06	1.09E-06	7.97E-06	9.20E-07	1.31E-05	1.20E-05	5.25E-07	6.49E-06	6.26E-06	2.10E-06	3.69E-06	7.91E-06	3.19E-06	8.07E-07	7.03E-06	2.57E-06	1.19E-06	3.72E-06	1.59E-06	1.08E-06	3.93E-06	1.03E-06	1.98E-06	2.55E-05	6.56E-06	1.03E-05	3.77E-05	5.79E-05	2.40E-05	1.03E-05	6.58E-06	1.29E-05	2.29E-05	1.76E-05	4.29E-06	5.17E-05	7.56E-06	8.25E-06	1.36E-05	5.39E-06	5.76E-05	1.59E-05	8.25E-05	6.80E-06	4.16E-06	1.28E-05	9.69E-06	3.50E-06	5.77E-06	1.49E-05	1.80E-06
Bacterial.secretion.system	0.008693299	0.008256128	0.009316618	0.009252872	0.008938044	0.009395575	0.008753583	0.00857102	0.009238852	0.008866172	0.008708918	0.008132333	0.009049329	0.009038936	0.008408312	0.008645487	0.008555376	0.008185707	0.008735954	0.009003678	0.008628034	0.008582117	0.008912101	0.012175227	0.011891578	0.009580098	0.013042783	0.011063656	0.009561624	0.009359063	0.00889852	0.009710396	0.010790898	0.008583132	0.008614299	0.012516484	0.010228529	0.009171422	0.010236377	0.009336455	0.008343212	0.01264652	0.013907837	0.009678474	0.008440442	0.010879999	0.008999278	0.008982958	0.008881821	0.008318515	0.008899217
Glycosphingolipid.biosynthesis...globo.series	0.000386511	0.00051027	0.00030355	0.000302409	0.000281823	0.000335682	0.000344282	0.00038768	0.000297038	0.000317263	0.000376347	0.000400565	0.000315167	0.000407717	0.00040793	0.000338314	0.000288789	0.00031741	0.000287726	0.000406697	0.000563032	0.000336448	0.000267427	0.000322589	0.000469507	0.000246479	0.000712998	0.000510525	0.00039772	0.00052529	0.000588055	0.000259189	0.000348446	0.000568496	0.00058969	0.000258446	0.000413471	0.000666574	0.000344018	0.000445848	0.000448172	0.000436502	0.000517535	0.000259278	0.000665269	0.00032407	0.000488161	0.000602811	0.000595057	0.000670134	0.000369222
Collecting.duct.acid.secretion	6.55E-07	1.17E-06	1.46E-06	1.73E-06	1.31E-06	4.41E-07	3.49E-06	1.07E-06	2.13E-06	6.48E-06	1.88E-06	5.13E-06	8.08E-06	7.23E-05	1.37E-05	1.02E-05	1.63E-05	8.72E-06	1.17E-06	1.84E-05	3.98E-06	2.88E-06	1.31E-05	5.06E-07	9.47E-08	2.33E-08	2.35E-07	3.28E-07	9.01E-07	0	5.69E-07	2.17E-06	3.88E-06	5.37E-08	7.45E-08	5.41E-08	5.52E-07	1.39E-07	2.43E-06	1.06E-06	2.86E-07	2.10E-07	5.72E-07	9.43E-08	0	4.81E-07	3.58E-06	2.36E-06	3.24E-06	3.58E-06	3.62E-07
Streptomycin.biosynthesis	0.002799631	0.002547265	0.002435259	0.002607276	0.002516936	0.002416217	0.002529781	0.002794181	0.002739393	0.002549763	0.002716243	0.002642895	0.002410102	0.002614263	0.002510446	0.002348193	0.002292505	0.002097099	0.002232404	0.002280939	0.002208118	0.002272103	0.002415772	0.001771344	0.001921599	0.002231768	0.003129366	0.001814931	0.002232543	0.00325146	0.002667994	0.002127368	0.002034112	0.002723642	0.002941534	0.001776726	0.002505851	0.002948414	0.002042774	0.002649889	0.001955328	0.002743969	0.00238483	0.002335474	0.002996547	0.002269419	0.002321865	0.002772128	0.002584737	0.002778161	0.002015046
Phagosome	1.28E-05	3.07E-05	1.59E-05	2.92E-05	2.92E-05	1.03E-05	4.43E-05	1.78E-05	3.01E-05	8.08E-05	3.11E-05	9.87E-05	0.000108844	0.000906163	0.000213058	0.000118433	0.000235002	0.000104226	1.74E-05	0.000180839	4.45E-05	2.06E-05	0.00014062	9.79E-07	4.72E-07	3.18E-07	3.23E-07	3.41E-07	9.30E-07	1.84E-07	6.85E-07	3.94E-06	8.54E-06	3.61E-07	1.53E-07	5.66E-07	2.45E-06	1.56E-07	6.72E-06	2.12E-06	4.04E-07	3.78E-07	5.72E-07	1.07E-06	1.58E-08	1.76E-06	1.06E-05	2.71E-06	7.27E-06	4.43E-06	1.02E-06
C5.Branched.dibasic.acid.metabolism	0.00090384	0.000914742	0.000725758	0.000656859	0.000612474	0.000666511	0.000803969	0.000913004	0.000660376	0.00071935	0.00077424	0.000764735	0.000637561	0.000515982	0.000831555	0.000742699	0.000863774	0.000959248	0.000997279	0.000949206	0.001074921	0.001061632	0.000759702	0.000834041	0.001054729	0.001010522	0.00096901	0.001302005	0.000942576	0.000987423	0.001077414	0.000979157	0.000920115	0.001075855	0.001079149	0.000846463	0.000888835	0.000994661	0.000815075	0.000943947	0.001467151	0.000856602	0.000865138	0.000928477	0.000986408	0.000691453	0.000989299	0.001031748	0.000955465	0.001033635	0.001074476
Base.excision.repair	0.009513291	0.008519918	0.009599507	0.009910742	0.009206492	0.009334408	0.00905789	0.009843823	0.009390391	0.009478637	0.009198877	0.008755621	0.009901451	0.009612888	0.008899321	0.008931531	0.008662801	0.008811125	0.008938248	0.008961991	0.009004992	0.008810685	0.008967303	0.009126265	0.009780838	0.008414422	0.007095624	0.007489693	0.007796025	0.007700227	0.007638189	0.008495867	0.008376004	0.007939943	0.007318961	0.008851021	0.009214736	0.007627848	0.009128982	0.00895228	0.008269866	0.008604886	0.007721481	0.008053362	0.007677177	0.008909997	0.007677055	0.008141647	0.007946627	0.007740443	0.007776397
MicroRNAs.in.cancer	0.002158601	0.001803752	0.001602788	0.001888626	0.001704521	0.001425603	0.001689465	0.00146499	0.002040235	0.001720045	0.001656748	0.001395118	0.001994097	0.002241693	0.001617085	0.001432649	0.0015534	0.001323701	0.001347865	0.001705113	0.001235462	0.001435526	0.001752493	0.00077974	0.000980209	0.001026029	0.000839739	0.000474657	0.000953057	0.001013126	0.000743343	0.001077927	0.000852805	0.000701704	0.000934078	0.001016982	0.0011288	0.000826612	0.001297221	0.001287961	0.000571705	0.001437007	0.00074007	0.001098964	0.001079544	0.001435478	0.001010084	0.000944564	0.000884104	0.000529671	0.000736684
Glycine..serine.and.threonine.metabolism	0.005404847	0.006017767	0.005988021	0.005874234	0.006019109	0.005855333	0.005677289	0.005014856	0.005860686	0.005633413	0.005572739	0.006060721	0.005571055	0.005995295	0.005744907	0.006137224	0.005771244	0.005784828	0.005781158	0.005796064	0.005396866	0.005474139	0.005832043	0.005630967	0.005265149	0.005387087	0.005519608	0.005328315	0.005205699	0.005387807	0.00564907	0.006395302	0.006106946	0.005005512	0.005199271	0.00566511	0.005371092	0.00531753	0.005863356	0.005340351	0.004627215	0.00560376	0.005917927	0.005885189	0.005581051	0.006284361	0.005683756	0.005337031	0.00590137	0.005163731	0.005515847
Homologous.recombination	0.018167803	0.017749885	0.019478028	0.020035498	0.018837204	0.018329704	0.018599072	0.017472435	0.018737365	0.018513424	0.018721886	0.018467033	0.019435488	0.018570468	0.01722724	0.018373286	0.018094202	0.017643959	0.01874147	0.017475291	0.017577084	0.018447852	0.019784299	0.019203435	0.017774405	0.016596288	0.018366576	0.015987992	0.015279422	0.01838291	0.018491343	0.017915257	0.018212755	0.017843338	0.018249886	0.01665632	0.018738776	0.018500998	0.020121615	0.019676351	0.01478538	0.019595146	0.013593429	0.01844446	0.019474646	0.019016438	0.017736104	0.018337794	0.019176874	0.017460695	0.016365836
Benzoate.degradation	0.000536207	0.000594597	0.000716837	0.000628969	0.000657174	0.00073252	0.000577737	0.000734166	0.000639477	0.000675832	0.000612312	0.000488202	0.000597646	0.00054494	0.000736996	0.000596201	0.000680679	0.000689653	0.000705463	0.000773804	0.000657852	0.000675249	0.000630616	0.00059072	0.000648866	0.000887589	0.000532485	0.000843143	0.000509034	0.00053894	0.000431388	0.000532778	0.000544309	0.000602692	0.000456903	0.000672971	0.000458302	0.000418636	0.000564067	0.000563678	0.000808555	0.000418139	0.000680309	0.000488647	0.000418835	0.000490632	0.000458991	0.000391292	0.000382438	0.00043621	0.000842925
Fc.gamma.R.mediated.phagocytosis	2.28E-08	1.53E-07	9.72E-08	9.09E-07	3.93E-08	1.54E-08	3.13E-07	5.77E-07	1.33E-07	1.01E-06	1.54E-06	2.39E-06	9.55E-06	4.28E-06	1.60E-06	3.96E-06	2.44E-06	5.83E-07	2.37E-06	2.34E-06	9.38E-07	5.09E-06	5.36E-06	0	0	1.55E-07	0	6.01E-08	0	0	0	0	7.93E-08	0	0	0	2.29E-07	0	2.12E-08	7.37E-08	0	5.17E-09	0	0	0	6.47E-08	0	0	1.03E-08	0	0
mTOR.signaling.pathway	1.50E-05	1.06E-05	8.30E-06	8.66E-06	1.36E-05	6.44E-06	1.29E-05	6.52E-06	1.09E-05	9.92E-06	9.60E-06	2.42E-05	3.99E-05	0.000125589	3.52E-05	2.23E-05	2.67E-05	1.21E-05	5.69E-06	3.18E-05	9.92E-06	3.00E-06	1.42E-05	5.29E-06	3.16E-07	0	0	4.33E-07	0	3.55E-08	0	3.91E-06	3.30E-06	1.16E-06	0	1.13E-05	1.52E-07	0	3.82E-06	1.61E-07	0	5.17E-09	0	1.79E-06	1.54E-07	1.53E-07	5.32E-06	1.60E-06	4.14E-06	1.18E-06	3.96E-07
Starch.and.sucrose.metabolism	0.006547054	0.006981949	0.005587708	0.005305767	0.005512837	0.006104985	0.006027239	0.006878076	0.005933057	0.005849484	0.006358078	0.006389323	0.005631965	0.005840445	0.006987614	0.005729796	0.005797358	0.006873454	0.006563348	0.006907072	0.009057954	0.006614741	0.005490284	0.008908513	0.009276683	0.00940196	0.009471774	0.010914213	0.014204764	0.008838094	0.009520729	0.007284643	0.007726191	0.010004305	0.009417916	0.0072841	0.007960149	0.010472413	0.007198678	0.007727288	0.008461415	0.007734784	0.01105793	0.008376668	0.008955435	0.00781016	0.008463587	0.008963865	0.008418032	0.011488399	0.010906982
Non.alcoholic.fatty.liver.disease..NAFLD.	1.27E-05	1.97E-05	2.64E-05	2.22E-05	2.09E-05	2.93E-05	3.01E-05	1.32E-05	5.52E-05	4.09E-05	4.37E-05	6.27E-05	0.000190787	4.68E-05	2.90E-05	2.17E-05	1.98E-05	1.32E-05	1.40E-05	2.73E-05	1.65E-05	1.35E-05	2.40E-05	1.10E-05	3.00E-06	3.55E-06	2.79E-06	2.82E-05	6.89E-07	4.06E-06	2.17E-06	1.04E-05	1.07E-05	3.73E-06	1.76E-06	1.58E-05	7.13E-06	3.52E-06	9.22E-06	4.08E-06	1.13E-06	8.51E-05	7.46E-07	1.22E-05	3.21E-07	9.88E-06	1.36E-05	6.31E-06	7.68E-06	6.19E-06	1.84E-06
Parkinson.s.disease	1.96E-05	4.12E-05	0.000103577	5.67E-05	3.14E-05	8.10E-05	5.74E-05	5.05E-05	0.00011169	0.000111952	0.00014087	0.000131599	0.001012639	0.000110597	9.31E-05	4.05E-05	5.27E-05	3.03E-05	5.06E-05	6.90E-05	4.97E-05	3.73E-05	5.14E-05	3.09E-05	1.53E-05	7.17E-06	4.59E-06	4.36E-05	2.12E-06	8.00E-06	7.69E-06	2.15E-05	1.74E-05	7.18E-06	3.52E-06	1.28E-05	2.73E-05	9.62E-06	3.03E-05	1.49E-05	5.50E-06	0.000256275	1.01E-05	3.00E-05	1.67E-06	3.94E-05	2.72E-05	2.73E-05	1.52E-05	2.65E-05	4.21E-06
Insulin.signaling.pathway	0.000862962	0.000954277	0.000746919	0.000791416	0.000820906	0.000811804	0.000800846	0.000898306	0.000891629	0.000898431	0.000946222	0.00099417	0.001042901	0.001168703	0.000961702	0.000896918	0.000901021	0.000937324	0.000736851	0.000950546	0.000775732	0.000771603	0.000910266	0.000999296	0.000974775	0.000939949	0.00079639	0.001060742	0.001562499	0.000921236	0.000961706	0.001177922	0.001131017	0.001177035	0.00109724	0.00086893	0.001271309	0.001000183	0.001114042	0.001065976	0.001165529	0.001032732	0.001152639	0.001092659	0.00103048	0.001497907	0.00124839	0.001037255	0.001166388	0.001070969	0.001387357
Salivary.secretion	1.45E-07	9.84E-07	5.31E-07	5.82E-07	7.80E-07	2.24E-07	1.34E-06	6.09E-07	7.79E-07	3.16E-06	7.06E-07	1.72E-06	1.75E-06	3.71E-05	7.83E-06	3.81E-06	8.16E-06	3.90E-06	2.61E-07	9.47E-06	6.06E-07	2.77E-07	5.63E-06	0	0	7.92E-09	0	0	0	0	0	0	0	0	0	0	4.05E-08	0	1.86E-08	0	1.00E-08	9.17E-09	6.44E-09	0	0	9.01E-09	0	0	3.67E-08	0	0
FoxO.signaling.pathway	7.33E-05	7.71E-05	9.88E-05	6.06E-05	0.000178311	7.55E-05	6.26E-05	5.66E-05	8.99E-05	7.86E-05	6.00E-05	8.55E-05	0.000106787	0.000203477	0.00010594	7.88E-05	8.71E-05	8.23E-05	5.75E-05	7.82E-05	7.88E-05	7.27E-05	7.37E-05	8.53E-05	6.68E-05	4.84E-05	0.000124471	0.000270356	1.90E-05	9.28E-05	6.15E-05	0.000148918	0.000150767	9.28E-05	5.43E-05	0.000197503	0.000125514	8.69E-05	0.000108526	6.55E-05	0.000450379	0.000123133	0.000297953	8.67E-05	9.10E-05	0.000111977	0.000115546	0.000105825	0.000116841	0.000107242	2.54E-05
Lysine.degradation	0.000415955	0.00051502	0.000810728	0.00074982	0.000765999	0.000723017	0.000617753	0.000345905	0.000831326	0.000853498	0.000535264	0.000712325	0.000638717	0.000837064	0.000740855	0.000890136	0.000813455	0.000500748	0.000693811	0.000526698	0.000477911	0.000435119	0.001065956	0.000996321	0.000691632	0.000548596	0.000682785	0.000721456	0.000495877	0.000695005	0.000514653	0.000690929	0.000717721	0.000392258	0.000429965	0.000878456	0.000539376	0.000430322	0.00077854	0.00063287	0.000463569	0.000736956	0.0011231	0.00051092	0.00047528	0.000836772	0.000465992	0.00038559	0.000563376	0.000552683	0.000512552
alpha.Linolenic.acid.metabolism	0	1.32E-07	5.66E-06	1.19E-07	7.62E-06	3.73E-07	3.41E-08	4.41E-08	6.72E-07	1.41E-07	2.18E-07	2.21E-07	3.72E-06	3.49E-07	2.23E-06	1.08E-07	0	8.11E-08	1.39E-07	3.39E-07	7.98E-08	2.85E-07	7.54E-08	1.98E-05	3.89E-06	6.51E-06	4.25E-05	7.04E-05	1.26E-06	1.06E-05	8.13E-06	9.16E-06	1.23E-05	5.24E-06	2.99E-06	6.00E-05	1.99E-06	6.95E-06	6.41E-06	6.42E-07	1.05E-05	9.87E-06	7.57E-05	5.03E-07	2.74E-06	2.36E-06	4.22E-06	1.75E-06	1.30E-06	5.45E-06	1.52E-06
Bacterial.chemotaxis	0.001680437	0.001190113	0.001176719	0.001149836	0.001602739	0.001372908	0.001710025	0.001978011	0.001673188	0.001431224	0.001588554	0.003821514	0.002468211	0.00108366	0.003136256	0.001923202	0.00163903	0.00258882	0.001558838	0.002092662	0.00203481	0.001804889	0.002187352	0.001708852	0.002369746	0.002643468	0.002533677	0.006377868	0.002336935	0.002502802	0.002645497	0.002419387	0.001996334	0.00378367	0.003736229	0.002575619	0.002444423	0.00484513	0.002621094	0.003080081	0.003312632	0.002559926	0.002475047	0.003103423	0.002656403	0.001820724	0.004143601	0.003049528	0.002686977	0.002870368	0.00536703
GnRH.signaling.pathway	1.68E-07	1.05E-06	6.29E-07	5.82E-07	8.06E-07	2.40E-07	1.57E-06	6.53E-07	8.04E-07	3.56E-06	7.41E-07	1.83E-06	3.42E-06	3.92E-05	8.37E-06	4.39E-06	8.44E-06	4.37E-06	5.27E-07	1.03E-05	8.13E-07	4.18E-07	6.41E-06	0	0	7.92E-09	0	0	0	0	0	0	0	0	0	0	4.05E-08	0	3.98E-08	0	1.00E-08	1.43E-08	6.44E-09	0	0	9.01E-09	0	0	4.69E-08	0	0
Viral.carcinogenesis	0.000197734	0.000172558	0.000182573	0.000195211	0.000175657	0.000224184	0.000220275	0.000183121	0.000159292	0.000188378	0.000191478	0.000217121	0.000254296	0.000480569	0.000291847	0.000224725	0.000234237	0.000191243	0.000179695	0.000237896	0.000192718	0.00018685	0.000211807	0.000178829	0.000153332	0.000156352	0.000160589	0.000175289	0.000186927	0.000187432	0.000187878	0.000135167	0.000179504	0.000176048	0.00018322	0.000225048	0.000175233	0.000183835	0.00018629	0.000147597	0.000175851	0.000175665	0.000124243	0.000131427	0.00017885	0.000142934	0.000174668	0.00019564	0.000173973	0.000176755	0.00016386
